database_id,cohort_id,concept_set_id,concept_id,source_concept_id,concept_subjects,concept_count
synpuf,1,1,704946,44839313,11,11
synpuf,1,1,704946,44841354,10,10
synpuf,1,1,704946,44841777,6,6
synpuf,1,1,704946,44856282,10,10
synpuf,1,1,704946,44873259,10,10
synpuf,1,1,704946,44875997,14,14
synpuf,1,1,704946,44882778,11,11
synpuf,1,1,704946,44884458,9,9
synpuf,1,1,704946,44900660,10,10
synpuf,1,1,704946,44908253,-5,-5
synpuf,1,1,704946,44908254,9,9
synpuf,1,1,704946,44926830,9,9
synpuf,1,1,704946,44952413,8,8
synpuf,1,1,704946,44958860,5,5
synpuf,1,1,704946,44960526,7,7
synpuf,1,1,704946,44975129,12,12
synpuf,1,1,704946,44977674,7,7
synpuf,1,1,704946,44978030,13,13
synpuf,1,1,704946,44994910,10,10
synpuf,1,1,704946,45011153,14,14
synpuf,1,1,704946,45011588,7,7
synpuf,1,1,704946,45012081,10,10
synpuf,1,1,704946,45036630,8,8
synpuf,1,1,704946,45043402,8,8
synpuf,1,1,704946,45051826,8,8
synpuf,1,1,704946,45105348,15,15
synpuf,1,1,704946,45146850,9,9
synpuf,1,1,704946,45178826,-5,-5
synpuf,1,1,704946,45180217,10,10
synpuf,1,1,704946,45188626,13,13
synpuf,1,1,704946,45196850,11,11
synpuf,1,1,704946,45216594,7,7
synpuf,1,1,704946,45266017,12,12
synpuf,1,1,704946,45266424,8,8
synpuf,1,1,704946,45273988,12,12
synpuf,1,1,704946,45275543,9,9
synpuf,1,1,704946,45281643,7,7
synpuf,1,1,704946,45292158,12,12
synpuf,1,1,704946,45307725,10,10
synpuf,1,1,704946,45317162,12,12
synpuf,1,1,704946,45322193,-5,-5
synpuf,1,1,704946,45325086,12,12
synpuf,1,1,704946,45334099,11,11
synpuf,1,1,704946,45349786,8,8
synpuf,1,1,704946,45352682,12,12
synpuf,1,1,704946,45362358,12,12
synpuf,1,1,704946,45369566,9,9
synpuf,1,1,749933,44839571,9,9
synpuf,1,1,749933,44840077,8,8
synpuf,1,1,749933,44841404,10,10
synpuf,1,1,749933,44841462,7,7
synpuf,1,1,749933,44849228,8,8
synpuf,1,1,749933,44850837,12,12
synpuf,1,1,749933,44851191,16,16
synpuf,1,1,749933,44856776,13,13
synpuf,1,1,749933,44867297,9,9
synpuf,1,1,749933,44867890,10,10
synpuf,1,1,749933,44873469,9,9
synpuf,1,1,749933,44878494,9,9
synpuf,1,1,749933,44881494,8,8
synpuf,1,1,749933,44884068,7,7
synpuf,1,1,749933,44885101,8,8
synpuf,1,1,749933,44885467,11,11
synpuf,1,1,749933,44891338,14,14
synpuf,1,1,749933,44893217,8,8
synpuf,1,1,749933,44899798,14,14
synpuf,1,1,749933,44902263,10,10
synpuf,1,1,749933,44902264,11,11
synpuf,1,1,749933,44902618,5,5
synpuf,1,1,749933,44902619,9,9
synpuf,1,1,749933,44902620,12,12
synpuf,1,1,749933,44902621,7,7
synpuf,1,1,749933,44910009,8,8
synpuf,1,1,749933,44912769,5,5
synpuf,1,1,749933,44919608,10,10
synpuf,1,1,749933,44919609,7,7
synpuf,1,1,749933,44919610,6,6
synpuf,1,1,749933,44924349,5,5
synpuf,1,1,749933,44936281,-5,-5
synpuf,1,1,749933,44936282,11,11
synpuf,1,1,749933,44936283,11,11
synpuf,1,1,749933,44936645,12,12
synpuf,1,1,749933,44936646,8,8
synpuf,1,1,749933,44936647,10,10
synpuf,1,1,749933,44936648,10,10
synpuf,1,1,749933,44940785,8,8
synpuf,1,1,749933,44941947,15,15
synpuf,1,1,749933,44941948,12,12
synpuf,1,1,749933,44953024,11,11
synpuf,1,1,749933,44953025,12,12
synpuf,1,1,749933,44959563,18,18
synpuf,1,1,749933,44963975,12,12
synpuf,1,1,749933,44969928,10,10
synpuf,1,1,749933,44969929,9,9
synpuf,1,1,749933,44969930,11,11
synpuf,1,1,749933,44970296,10,10
synpuf,1,1,749933,44975826,11,11
synpuf,1,1,749933,44980435,8,8
synpuf,1,1,749933,44984561,7,7
synpuf,1,1,749933,44987006,11,11
synpuf,1,1,749933,44987007,14,14
synpuf,1,1,749933,44987343,9,9
synpuf,1,1,749933,44987344,7,7
synpuf,1,1,749933,45000425,9,9
synpuf,1,1,749933,45003971,9,9
synpuf,1,1,749933,45004323,17,17
synpuf,1,1,749933,45004324,16,16
synpuf,1,1,749933,45018209,16,16
synpuf,1,1,749933,45021131,12,12
synpuf,1,1,749933,45021132,12,12
synpuf,1,1,749933,45021133,11,11
synpuf,1,1,749933,45021456,6,6
synpuf,1,1,749933,45021457,17,17
synpuf,1,1,749933,45021458,12,12
synpuf,1,1,749933,45021459,11,11
synpuf,1,1,749933,45038267,9,9
synpuf,1,1,749933,45038268,14,14
synpuf,1,1,749933,45038642,8,8
synpuf,1,1,749933,45044137,13,13
synpuf,1,1,749933,45049848,10,10
synpuf,1,1,749933,45052395,13,13
synpuf,1,1,749933,45055227,10,10
synpuf,1,1,749933,45055228,13,13
synpuf,1,1,749933,45061785,13,13
synpuf,1,1,749933,45063413,13,13
synpuf,1,1,749933,45071108,8,8
synpuf,1,1,749933,45072414,11,11
synpuf,1,1,749933,45072415,12,12
synpuf,1,1,749933,45072417,15,15
synpuf,1,1,749933,45072418,12,12
synpuf,1,1,749933,45072777,10,10
synpuf,1,1,749933,45072778,9,9
synpuf,1,1,749933,45072779,11,11
synpuf,1,1,749933,45072780,19,19
synpuf,1,1,749933,45079941,11,11
synpuf,1,1,749933,45089606,13,13
synpuf,1,1,749933,45089607,9,9
synpuf,1,1,749933,45089608,11,11
synpuf,1,1,749933,45089609,11,11
synpuf,1,1,749933,45096407,8,8
synpuf,1,1,749933,45103287,8,8
synpuf,1,1,749933,45106286,18,18
synpuf,1,1,749933,45106654,9,9
synpuf,1,1,749933,45106655,6,6
synpuf,1,1,749933,45114469,11,11
synpuf,1,1,749933,45120545,15,15
synpuf,1,1,749933,45122283,12,12
synpuf,1,1,749933,45123247,11,11
synpuf,1,1,749933,45123597,13,13
synpuf,1,1,749933,45123598,14,14
synpuf,1,1,749933,45127703,10,10
synpuf,1,1,749933,45128816,14,14
synpuf,1,1,749933,45130255,15,15
synpuf,1,1,749933,45140501,7,7
synpuf,1,1,749933,45140502,9,9
synpuf,1,1,749933,45140838,7,7
synpuf,1,1,749933,45145851,9,9
synpuf,1,1,749933,45145852,9,9
synpuf,1,1,749933,45146090,14,14
synpuf,1,1,749933,45155306,11,11
synpuf,1,1,749933,45157257,6,6
synpuf,1,1,749933,45157258,5,5
synpuf,1,1,749933,45157259,9,9
synpuf,1,1,749933,45157615,5,5
synpuf,1,1,749933,45157616,9,9
synpuf,1,1,749933,45164054,8,8
synpuf,1,1,749933,45165537,7,7
synpuf,1,1,749933,45174404,8,8
synpuf,1,1,749933,45174405,12,12
synpuf,1,1,749933,45174406,12,12
synpuf,1,1,749933,45174731,11,11
synpuf,1,1,749933,45174732,10,10
synpuf,1,1,749933,45174733,13,13
synpuf,1,1,749933,45175099,10,10
synpuf,1,1,749933,45175142,8,8
synpuf,1,1,749933,45180624,-5,-5
synpuf,1,1,749933,45191462,9,9
synpuf,1,1,749933,45191463,14,14
synpuf,1,1,749933,45191464,11,11
synpuf,1,1,749933,45191804,16,16
synpuf,1,1,749933,45197102,8,8
synpuf,1,1,749933,45199077,18,18
synpuf,1,1,749933,45199230,7,7
synpuf,1,1,749933,45202052,13,13
synpuf,1,1,749933,45208664,6,6
synpuf,1,1,749933,45208665,12,12
synpuf,1,1,749933,45208666,8,8
synpuf,1,1,749933,45209014,13,13
synpuf,1,1,749933,45215945,13,13
synpuf,1,1,749933,45223724,8,8
synpuf,1,1,749933,45224227,11,11
synpuf,1,1,749933,45226242,9,9
synpuf,1,1,749933,45236381,5,5
synpuf,1,1,749933,45236854,8,8
synpuf,1,1,749933,45241900,6,6
synpuf,1,1,749933,45243307,11,11
synpuf,1,1,749933,45243308,11,11
synpuf,1,1,749933,45243309,15,15
synpuf,1,1,749933,45258776,13,14
synpuf,1,1,749933,45259997,10,10
synpuf,1,1,749933,45266546,9,9
synpuf,1,1,749933,45268112,17,17
synpuf,1,1,749933,45273677,7,7
synpuf,1,1,749933,45274165,9,9
synpuf,1,1,749933,45274167,8,8
synpuf,1,1,749933,45275098,9,9
synpuf,1,1,749933,45277166,11,11
synpuf,1,1,749933,45277167,15,15
synpuf,1,1,749933,45277168,8,8
synpuf,1,1,749933,45277518,10,10
synpuf,1,1,749933,45277519,8,8
synpuf,1,1,749933,45277520,8,8
synpuf,1,1,749933,45288278,10,10
synpuf,1,1,749933,45290796,8,8
synpuf,1,1,749933,45292184,6,6
synpuf,1,1,749933,45294323,8,8
synpuf,1,1,749933,45294324,11,11
synpuf,1,1,749933,45295045,10,10
synpuf,1,1,749933,45302260,12,12
synpuf,1,1,749933,45308448,12,12
synpuf,1,1,749933,45311617,8,8
synpuf,1,1,749933,45311618,13,13
synpuf,1,1,749933,45317614,11,11
synpuf,1,1,749933,45327616,12,12
synpuf,1,1,749933,45328208,12,12
synpuf,1,1,749933,45328210,12,12
synpuf,1,1,749933,45328211,7,7
synpuf,1,1,749933,45328596,12,12
synpuf,1,1,749933,45328597,6,6
synpuf,1,1,749933,45335643,14,14
synpuf,1,1,749933,45345254,11,11
synpuf,1,1,749933,45345255,13,13
synpuf,1,1,749933,45345256,9,9
synpuf,1,1,749933,45345632,11,11
synpuf,1,1,749933,45345633,11,11
synpuf,1,1,749933,45350959,13,13
synpuf,1,1,749933,45362288,5,5
synpuf,1,1,749933,45362289,16,16
synpuf,1,1,749933,45362684,9,9
synpuf,1,1,749933,45366783,9,9
synpuf,1,1,749933,45368118,16,16
synpuf,1,1,749933,45369967,10,10
synpuf,1,1,749933,45375815,9,9
synpuf,1,1,749933,45379378,11,11
synpuf,1,1,749933,45379379,6,6
synpuf,1,1,749933,45379380,13,13
synpuf,1,1,749933,45379753,5,5
synpuf,1,1,1112834,44873407,18,18
synpuf,1,1,1112834,44924750,14,14
synpuf,1,1,1112834,44925814,12,12
synpuf,1,1,1112834,44969237,17,17
synpuf,1,1,1112834,44977567,10,10
synpuf,1,1,1112834,45008545,7,7
synpuf,1,1,1112834,45080440,10,10
synpuf,1,1,1112834,45102757,6,6
synpuf,1,1,1112834,45146806,5,5
synpuf,1,1,1112834,45147331,10,10
synpuf,1,1,1112834,45167281,16,16
synpuf,1,1,1112834,45198515,11,11
synpuf,1,1,1112834,45239467,12,12
synpuf,1,1,1112834,45265702,20,20
synpuf,1,1,1112834,45267941,12,12
synpuf,1,1,1112834,45284731,12,12
synpuf,1,1,1112834,45302262,15,15
synpuf,1,1,1112834,45367792,16,16
synpuf,1,1,1112834,45368575,14,14
synpuf,1,1,1112834,45377384,5,5
synpuf,1,1,1112834,45377600,12,12
synpuf,1,1,1112834,45378501,14,14
synpuf,1,1,1112836,44994798,11,11
synpuf,1,1,1112836,45175068,20,20
synpuf,1,1,1112836,45215185,19,19
synpuf,1,1,1112836,45302299,16,16
synpuf,1,1,1112837,44847968,15,15
synpuf,1,1,1112837,44892356,17,17
synpuf,1,1,1112837,44899187,17,17
synpuf,1,1,1112837,44903273,13,13
synpuf,1,1,1112837,44943860,20,20
synpuf,1,1,1112837,44960645,16,16
synpuf,1,1,1112837,44960646,13,13
synpuf,1,1,1112837,45044049,22,22
synpuf,1,1,1112837,45051103,16,16
synpuf,1,1,1112837,45069372,17,17
synpuf,1,1,1112837,45113521,20,20
synpuf,1,1,1112837,45170351,14,14
synpuf,1,1,1112837,45181559,17,17
synpuf,1,1,1112837,45214253,17,17
synpuf,1,1,1112837,45226909,18,18
synpuf,1,1,1112837,45302338,18,18
synpuf,1,1,1112837,45317079,23,23
synpuf,1,1,1112837,45342369,16,16
synpuf,1,1,1112838,44841666,20,20
synpuf,1,1,1112838,45290128,20,20
synpuf,1,1,1112838,45358200,14,14
synpuf,1,1,1112839,44856637,12,12
synpuf,1,1,1112839,44873616,20,20
synpuf,1,1,1112839,44898059,18,18
synpuf,1,1,1112839,44926374,12,12
synpuf,1,1,1112839,44927093,16,16
synpuf,1,1,1112839,44960027,16,16
synpuf,1,1,1112839,44977387,15,15
synpuf,1,1,1112839,44993324,8,8
synpuf,1,1,1112839,45078207,14,14
synpuf,1,1,1112839,45080428,13,13
synpuf,1,1,1112839,45102132,18,18
synpuf,1,1,1112839,45130736,18,18
synpuf,1,1,1112839,45199175,17,17
synpuf,1,1,1112839,45222737,24,24
synpuf,1,1,1112839,45233537,21,21
synpuf,1,1,1112839,45290129,11,11
synpuf,1,1,1112839,45317026,14,14
synpuf,1,1,1112839,45318488,19,19
synpuf,1,1,1112839,45359365,11,11
synpuf,1,1,1112839,45369855,11,11
