cohortDefinitionId,analysisId,conceptId,name,n,pct,timeWindow,database
1,202,376552,Cerebral laceration and contusion,3,7.438631291842301e-4,365_0,synpuf
1,202,23247,Chronic peptic ulcer with perforation but without obstruction,2,4.959087527894868e-4,365_0,synpuf
1,202,435659,Open fracture of humerus,1,2.479543763947434e-4,365_0,synpuf
1,202,193261,Vaginospasm,1,2.479543763947434e-4,365_0,synpuf
1,202,4290000,Mumps,1,2.479543763947434e-4,365_0,synpuf
1,202,4182437,Female genital cutting,7,0.0017356806347632,365_0,synpuf
1,202,435987,Peanut-induced anaphylaxis,4,9.918175055789735e-4,365_0,synpuf
1,202,80182,Dermatomyositis,10,0.00247954376394743,365_0,synpuf
1,202,441615,Trigonitis,34,0.00843044879742127,365_0,synpuf
1,202,439746,Primary malignant neoplasm of hypopharynx,4,9.918175055789735e-4,365_0,synpuf
1,202,432582,Neoplastic disease of uncertain behavior,22,0.00545499628068435,365_0,synpuf
1,202,441134,Open fracture vault of skull without intracranial injury,2,4.959087527894868e-4,365_0,synpuf
1,202,433222,"Thoracoabdominal aortic aneurysm, ruptured",7,0.0017356806347632,365_0,synpuf
1,202,435247,Metallosis,1,2.479543763947434e-4,365_0,synpuf
1,202,196159,Old laceration of muscles of pelvic floor,5,0.00123977188197371,365_0,synpuf
1,202,138102,Benign neoplasm of skin,11,0.00272749814034217,365_0,synpuf
1,202,72994,Jaccoud's syndrome,23,0.00570295065707909,365_0,synpuf
1,202,439080,Dyspareunia,6,0.00148772625836846,365_0,synpuf
1,202,444396,Subchronic residual schizophrenia with acute exacerbations,6,0.00148772625836846,365_0,synpuf
1,202,80800,Polymyositis,17,0.00421522439871063,365_0,synpuf
1,202,317898,Malignant essential hypertension,275,0.06818745350855443,365_0,synpuf
1,202,198191,Acquired hypertrophic pyloric stenosis,3,7.438631291842301e-4,365_0,synpuf
1,202,377866,near-total impairment,1,2.479543763947434e-4,365_0,synpuf
1,202,373172,Drug-induced amnestic syndrome,1,2.479543763947434e-4,365_0,synpuf
1,202,381569,Myogenic ptosis,11,0.00272749814034217,365_0,synpuf
1,202,4205002,Alcohol-induced mood disorder,3,7.438631291842301e-4,365_0,synpuf
1,202,40481303,Aphonia,12,0.00297545251673692,365_0,synpuf
1,202,439221,"Adverse effect, due to correct medicinal substance properly administered",43,0.01066203818497396,365_0,synpuf
1,202,135194,Lymphosarcoma of intrathoracic lymph nodes,1,2.479543763947434e-4,365_0,synpuf
1,202,378547,Congenital anomaly of retina,2,4.959087527894868e-4,365_0,synpuf
1,202,372423,Reduction deformities of brain,2,4.959087527894868e-4,365_0,synpuf
1,202,443564,Malignant neoplasm of bone,10,0.00247954376394743,365_0,synpuf
1,202,74450,Ankylosis of joint of pelvis and/or hip,9,0.00223158938755269,365_0,synpuf
1,202,4201930,Pain from metastases,14,0.0034713612695264,365_0,synpuf
1,202,434767,Open Colles' fracture,4,9.918175055789735e-4,365_0,synpuf
1,202,141248,Benign neoplasm of skin of lip,4,9.918175055789735e-4,365_0,synpuf
1,202,74445,Crystal arthropathy of shoulder region,4,9.918175055789735e-4,365_0,synpuf
1,202,200644,Mumps polyneuropathy,1,2.479543763947434e-4,365_0,synpuf
1,202,440387,Cannabis dependence,7,0.0017356806347632,365_0,synpuf
1,202,437400,Closed fracture of shaft of ulna,4,9.918175055789735e-4,365_0,synpuf
1,202,443506,Bromine compound poisoning,1,2.479543763947434e-4,365_0,synpuf
1,202,4091469,Malignant neoplasm of nipple and areola of male breast,32,0.00793454004463178,365_0,synpuf
1,202,443421,Gallbladder and bile duct calculi,16,0.00396727002231589,365_0,synpuf
1,202,4223483,Impairment,18,0.00446317877510538,365_0,synpuf
1,202,375490,Primary malignant neoplasm of cornea,1,2.479543763947434e-4,365_0,synpuf
1,202,433196,Chorioretinal scar,7,0.0017356806347632,365_0,synpuf
1,202,200148,Seminal vesiculitis,3,7.438631291842301e-4,365_0,synpuf
1,202,80484,Crystal arthropathy,5,0.00123977188197371,365_0,synpuf
1,202,441266,Thiamine deficiency,5,0.00123977188197371,365_0,synpuf
1,202,23237,Acute peptic ulcer with hemorrhage AND obstruction,9,0.00223158938755269,365_0,synpuf
1,202,374647,Limbal AND/OR corneal involvement in vernal conjunctivitis,3,7.438631291842301e-4,365_0,synpuf
1,202,372828,Herpes zoster ophthalmicus,3,7.438631291842301e-4,365_0,synpuf
1,202,318443,Arteriosclerotic vascular disease,31,0.00768658566823704,365_0,synpuf
1,202,201161,Injury of liver with open wound into abdominal cavity,1,2.479543763947434e-4,365_0,synpuf
1,202,375815,Bullous keratopathy,4,9.918175055789735e-4,365_0,synpuf
1,202,434223,Poisoning by psychotropic agent,3,7.438631291842301e-4,365_0,synpuf
1,202,443617,Conduct disorder,4,9.918175055789735e-4,365_0,synpuf
1,202,440716,Infectious secondary iridocyclitis,1,2.479543763947434e-4,365_0,synpuf
1,202,4184149,Feeling irritable,3,7.438631291842301e-4,365_0,synpuf
1,202,434334,Repetitive intrusions of sleep,1,2.479543763947434e-4,365_0,synpuf
1,202,141666,Acute osteomyelitis of lower leg,3,7.438631291842301e-4,365_0,synpuf
1,202,381733,Multiple nerve injury,2,4.959087527894868e-4,365_0,synpuf
1,202,196157,Induratio penis plastica,3,7.438631291842301e-4,365_0,synpuf
1,202,443767,Disorder of eye due to diabetes mellitus,148,0.03669724770642202,365_0,synpuf
1,202,77961,Disseminated idiopathic skeletal hyperostosis,43,0.01066203818497396,365_0,synpuf
1,202,379784,Senile dementia with depression,80,0.01983635011157947,365_0,synpuf
1,202,378758,"blind, not further specified",3,7.438631291842301e-4,365_0,synpuf
1,202,196328,Salmonella gastroenteritis,1,2.479543763947434e-4,365_0,synpuf
1,202,442760,Cerebellar laceration without open intracranial wound AND with prolonged loss of consciousness (more than 24 hours) without return to pre-existing conscious level,1,2.479543763947434e-4,365_0,synpuf
1,202,437878,Persistent mydriasis,2,4.959087527894868e-4,365_0,synpuf
1,202,438077,Invasive candidiasis,18,0.00446317877510538,365_0,synpuf
1,202,195583,Chronic gastric ulcer without hemorrhage AND without perforation but with obstruction,2,4.959087527894868e-4,365_0,synpuf
1,202,434652,Persistent miosis,7,0.0017356806347632,365_0,synpuf
1,202,436900,Mycoplasma infection,1,2.479543763947434e-4,365_0,synpuf
1,202,443796,Infectious peritonitis,1,2.479543763947434e-4,365_0,synpuf
1,202,192956,Cholecystitis,31,0.00768658566823704,365_0,synpuf
1,202,437495,Rubella with complication,1,2.479543763947434e-4,365_0,synpuf
1,202,436235,Taste sense altered,8,0.00198363501115794,365_0,synpuf
1,202,197913,Disorder of function of stomach,80,0.01983635011157947,365_0,synpuf
1,202,78227,Degenerative joint disease of hand,63,0.01562112571286883,365_0,synpuf
1,202,438530,Ossification of posterior longitudinal ligament in cervical region,44,0.0109099925613687,365_0,synpuf
1,202,192286,Intestinal disaccharidase deficiency,31,0.00768658566823704,365_0,synpuf
1,202,433288,Derangement of anterior horn of lateral meniscus,1,2.479543763947434e-4,365_0,synpuf
1,202,437120,Closed traumatic dislocation of joint of foot,2,4.959087527894868e-4,365_0,synpuf
1,202,380721,Focal retinitis AND retinochoroiditis of other posterior pole,1,2.479543763947434e-4,365_0,synpuf
1,202,256909,Primary pulmonary coccidioidomycosis,15,0.00371931564592115,365_0,synpuf
1,202,133169,Myelofibrosis,8,0.00198363501115794,365_0,synpuf
1,202,194081,Acute cystitis,120,0.0297545251673692,365_0,synpuf
1,202,80502,Osteoporosis,724,0.1795189685097942,365_0,synpuf
1,202,444198,Intracranial hemorrhage following injury with loss of consciousness,1,2.479543763947434e-4,365_0,synpuf
1,202,372642,Corneal staphyloma,2,4.959087527894868e-4,365_0,synpuf
1,202,432319,Adhesions and disruptions of iris and ciliary body,1,2.479543763947434e-4,365_0,synpuf
1,202,26213,Congenital salivary gland fistula,1,2.479543763947434e-4,365_0,synpuf
1,202,4147972,Specific academic or work inhibition,7,0.0017356806347632,365_0,synpuf
1,202,439013,Insomnia disorder related to another mental disorder,8,0.00198363501115794,365_0,synpuf
1,202,195632,Rupture of quadriceps tendon,7,0.0017356806347632,365_0,synpuf
1,202,438178,Postmastectomy lymphedema syndrome,6,0.00148772625836846,365_0,synpuf
1,202,373356,Open wound of multiple sites of ear with complication,3,7.438631291842301e-4,365_0,synpuf
1,202,442173,Secondary malignant neoplasm of spleen,8,0.00198363501115794,365_0,synpuf
1,202,81988,Sprain of sternum,10,0.00247954376394743,365_0,synpuf
1,202,434893,Selective immunoglobulin M deficiency,1,2.479543763947434e-4,365_0,synpuf
1,202,75045,Climacteric arthritis of the pelvic region and thigh,3,7.438631291842301e-4,365_0,synpuf
1,202,439968,Late effect of tendon injury,1,2.479543763947434e-4,365_0,synpuf
1,202,134453,Bursitis,34,0.00843044879742127,365_0,synpuf
1,202,377849,Retinal deposits,14,0.0034713612695264,365_0,synpuf
1,202,4150307,Dental restoration finding,3,7.438631291842301e-4,365_0,synpuf
1,202,438570,Multiple closed fractures of skull AND/OR face with cerebral laceration AND/OR contusion,2,4.959087527894868e-4,365_0,synpuf
1,202,80857,Open posterior dislocation of proximal end of tibia,3,7.438631291842301e-4,365_0,synpuf
1,202,433777,Dacryolith,1,2.479543763947434e-4,365_0,synpuf
1,202,132983,Dermatographic urticaria,6,0.00148772625836846,365_0,synpuf
1,202,433629,Injury of transverse colon without open wound into abdominal cavity,1,2.479543763947434e-4,365_0,synpuf
1,202,194491,Tenderness of epigastrium,56,0.01388544507810563,365_0,synpuf
1,202,4198962,Amputated thumb,18,0.00446317877510538,365_0,synpuf
1,202,442184,Monocular esotropia with noncommitance other than A OR V pattern,1,2.479543763947434e-4,365_0,synpuf
1,202,437117,Open fracture of intracapsular section of femur,9,0.00223158938755269,365_0,synpuf
1,202,436940,Metabolic syndrome X,50,0.01239771881973716,365_0,synpuf
1,202,194679,Bilateral inguinal hernia with gangrene,3,7.438631291842301e-4,365_0,synpuf
1,202,375221,Chronic motor tic disorder,1,2.479543763947434e-4,365_0,synpuf
1,202,317814,Benign neoplasm of heart,8,0.00198363501115794,365_0,synpuf
1,202,380038,Viral conjunctivitis,6,0.00148772625836846,365_0,synpuf
1,202,200771,Peptic ulcer without hemorrhage AND without perforation but with obstruction,2,4.959087527894868e-4,365_0,synpuf
1,202,442626,Benign hypertensive heart AND renal disease,23,0.00570295065707909,365_0,synpuf
1,202,78162,Peripheral vertigo,35,0.00867840317381601,365_0,synpuf
1,202,442340,Total circumpapillary dystrophy of choroid,1,2.479543763947434e-4,365_0,synpuf
1,202,441246,Hemangioma of intracranial structure,5,0.00123977188197371,365_0,synpuf
