cohortDefinitionId,n,pct,name,analysisId,conceptId,timeWindow,database
1,2152,0.5335978180014878,acetaminophen,999,0,0_183,synpuf
1,2058,0.5102901066203819,hydrochlorothiazide,999,0,0_183,synpuf
1,3792,0.9402429952888668,proc1,999,0,0_183,synpuf
1,3766,0.9337961815026036,proc2,999,0,0_183,synpuf
1,2677,0.663773865608728,acetaminophen,999,0,0_99999,synpuf
1,2587,0.6414579717332011,hydrochlorothiazide,999,0,0_99999,synpuf
1,3942,0.9774361517480784,proc1,999,0,0_99999,synpuf
1,3943,0.9776841061244732,proc2,999,0,0_99999,synpuf
1001,2152,0.5335978180014878,acetaminophen,999,0,0_183,synpuf
1001,2058,0.5102901066203819,hydrochlorothiazide,999,0,0_183,synpuf
1001,3792,0.9402429952888668,proc1,999,0,0_183,synpuf
1001,3766,0.9337961815026036,proc2,999,0,0_183,synpuf
1001,2677,0.663773865608728,acetaminophen,999,0,0_99999,synpuf
1001,2587,0.6414579717332011,hydrochlorothiazide,999,0,0_99999,synpuf
1001,3942,0.9774361517480784,proc1,999,0,0_99999,synpuf
1001,3943,0.9776841061244732,proc2,999,0,0_99999,synpuf
1003,1060,0.5093704949543488,acetaminophen,999,0,0_183,synpuf
1003,1041,0.5002402691013935,hydrochlorothiazide,999,0,0_183,synpuf
1003,1934,0.9293608841902932,proc1,999,0,0_183,synpuf
1003,1921,0.9231138875540604,proc2,999,0,0_183,synpuf
1003,1353,0.6501681883709755,acetaminophen,999,0,0_99999,synpuf
1003,1317,0.6328688130706391,hydrochlorothiazide,999,0,0_99999,synpuf
1003,2027,0.9740509370494954,proc1,999,0,0_99999,synpuf
1003,2025,0.9730898606439212,proc2,999,0,0_99999,synpuf
